fnum,buildings,forest,glacier,mountain,sea,street
20056,1.507656e-06,0.9999242,8.64842e-06,1.3075908e-07,1.067055e-06,6.437182e-05
20057,0.806937,0.019810516,0.024750609,0.02670363,0.068243474,0.053554647
20058,0.013545081,0.01010037,0.2063945,0.39350995,0.37250647,0.0039436426
20059,0.24055696,0.037376527,0.36113742,0.09523219,0.16562721,0.100069724
20060,0.22539411,0.3720921,0.0009610865,0.0039746845,0.05928377,0.33829424
20061,0.3908661,0.00071002834,0.00033421675,0.00017575071,0.00040815535,0.60750574
20062,2.1013138e-08,0.99999976,4.509974e-09,1.826844e-12,5.3251553e-10,1.9969916e-07
20064,0.42174312,0.0023262096,6.886789e-06,2.8944321e-05,0.008316788,0.567578
20066,3.767167e-06,0.99827814,1.0344814e-11,8.252404e-16,2.8648313e-09,0.00171801
20067,0.007503718,0.008411399,3.4838847e-06,2.8200782e-07,0.0031879032,0.98089325
20068,0.00046592345,5.680539e-06,0.0013051522,0.029559944,0.9686622,1.0694885e-06
20069,0.00054906344,2.72582e-05,1.025055e-06,2.9576404e-08,2.832441e-06,0.9994198
20070,0.0028835058,0.035869848,4.6374158e-08,1.5749252e-10,1.016238e-05,0.9612365
20071,0.006580159,0.017147243,0.051965527,0.8677556,0.05620646,0.00034501197
20072,0.02075382,0.005046183,0.037003737,0.033865858,0.87125474,0.032075617
20073,0.015482573,4.5144338e-07,1.520914e-06,1.4028798e-05,0.98450124,2.7867262e-07
20074,0.00041638705,0.00023947246,0.83258206,0.15209448,0.014280482,0.00038705053
20075,0.09520754,0.040431958,4.887382e-05,0.00012461682,0.013244277,0.85094273
20076,0.00021835724,0.9460998,0.004306332,0.00035582614,0.048768807,0.00025094132
20077,0.018793037,0.014326135,0.10079265,0.351701,0.50823605,0.006151184
20078,0.9441139,1.2703319e-05,1.5641964e-06,1.2998562e-06,0.000105892344,0.055764563
20079,7.605817e-05,0.0011719174,7.615015e-10,6.513924e-11,8.8863054e-08,0.9987519
20080,0.00032938784,0.0006093792,2.3371724e-05,4.631921e-08,6.688822e-06,0.9990312
20081,0.00028057199,4.1384824e-06,0.0005479886,0.022523416,0.9766434,4.882492e-07
20082,2.8044777e-08,1.0,1.0798012e-18,9.165468e-22,3.990294e-12,2.6957782e-13
20083,0.13794576,0.011000809,6.734058e-05,3.0094405e-05,0.0073188683,0.8436371
20084,0.0011606386,6.7954174e-06,1.195774e-07,3.770527e-09,5.916324e-07,0.9988318
20085,0.0008379501,0.017755782,0.0072605447,0.92155313,0.052574642,1.7972454e-05
20087,0.10133457,0.1821568,0.07544025,0.15535219,0.44553113,0.040185064
20088,0.00015969969,0.00040390075,0.0003051885,1.7525364e-08,1.5141367e-05,0.999116
20089,0.0013184668,0.9740354,6.899755e-07,2.2397189e-09,1.1407283e-05,0.02463404
20090,0.00019180441,0.00024691623,1.4206636e-07,1.4772323e-09,7.3804554e-06,0.99955374
20091,0.36177787,0.43137863,2.5368507e-07,2.7669492e-12,1.05574216e-07,0.20684315
20092,0.019251563,0.7413509,0.024472933,0.04977218,0.068809554,0.09634282
20093,0.35212457,0.032685786,0.1010693,0.16302517,0.2928713,0.05822384
20094,0.91124004,0.021039475,0.009673419,0.015793376,0.015064568,0.027189065
20095,0.121261,0.18868081,0.0048972243,0.033326462,0.65135616,0.00047837026
20096,0.99165034,4.799976e-06,1.9067395e-05,6.589217e-05,0.0013974091,0.006862609
20098,4.6379876e-07,0.9999995,6.90971e-11,7.098911e-15,7.421689e-09,1.4595877e-08
20099,0.01342015,0.0004262826,0.024957582,0.30870098,0.6520483,0.00044667008
20100,1.4562265e-06,0.9999875,7.0189475e-07,2.0296724e-07,4.4634658e-06,5.7483044e-06
20106,0.02170619,0.0073902,0.08203191,0.12543125,0.75049436,0.012946033
20107,0.0011550976,0.00032799816,0.11814739,0.10662376,0.7690417,0.004704022
20108,5.349812e-07,0.9999982,1.2401658e-06,1.6066005e-09,4.0601822e-08,9.696829e-08
20109,0.00048810383,0.0015813794,0.09985714,0.8922555,0.005792467,2.5372856e-05
20111,0.006454882,0.062554546,0.5003674,0.2818214,0.13992935,0.008872463
20112,0.11146066,0.0137413,0.052862905,0.08506275,0.72298354,0.013888843
20113,0.9064433,0.0064094374,0.0003897296,0.0025253878,0.015828684,0.06840344
20114,4.6017347e-05,1.4137126e-07,0.00020374138,0.005992297,0.9937577,8.302161e-08
20115,0.004332636,0.00015799441,0.006005133,0.11547319,0.8739363,9.468673e-05
20116,0.3823312,3.8344762e-05,0.08255316,0.4900359,0.045040637,7.3725465e-07
20117,6.284353e-17,0.99999404,2.6641e-14,3.196486e-26,1.9435349e-19,5.965667e-06
20120,0.0070954105,0.0009897936,0.002783994,0.47892886,0.51017094,3.0978536e-05
20123,0.0025973849,0.0128909545,0.019401712,0.9017499,0.063280016,7.993679e-05
20124,0.0009728851,2.5662548e-05,0.00062523485,0.009436495,0.9889036,3.619969e-05
20126,0.21113883,0.033788092,0.0049133026,0.005025594,0.020381438,0.72475266
20127,0.108567,0.06924196,0.014822334,0.001642842,0.02485439,0.7808714
20129,0.0015808002,0.44940802,0.0049883532,0.5341053,0.009591083,0.00032642504
20131,0.76655203,4.5365578e-05,5.209176e-07,4.7402773e-07,2.2100666e-07,0.23340145
20133,0.04335868,0.029729802,0.58769906,0.17889062,0.093901925,0.06641988
20134,0.00014149184,0.9991404,2.2408616e-07,2.9331432e-08,1.0236568e-06,0.0007167459
20136,0.005579502,0.8140095,0.07858131,0.10163272,0.000112355265,8.466425e-05
20137,6.285868e-05,5.4684796e-07,3.735294e-07,5.472742e-09,6.539669e-08,0.9999361
20138,0.08127715,0.0008669425,0.06224572,0.66482586,0.19071832,6.5947344e-05
20140,0.99993217,4.6306968e-07,3.896471e-07,3.097958e-07,5.7545953e-06,6.0870872e-05
20142,0.0006744297,0.9934083,4.70696e-05,0.00021808126,0.0031698109,0.002482286
20144,0.001882641,0.031089338,0.013524276,0.9349273,0.018486075,9.034392e-05
20147,0.0057941135,0.7485145,0.008210739,0.037134014,0.17329052,0.027056113
20148,0.19397068,0.009705279,0.071836114,0.1285514,0.58472496,0.0112116
20150,8.725681e-09,1.0,2.8397285e-12,5.648242e-11,4.3625358e-14,3.06987e-08
20151,2.586273e-06,0.999997,6.7839917e-10,1.1063614e-12,4.1621755e-07,1.0569341e-09
20152,0.019847922,0.08663108,1.2007304e-07,2.517511e-08,0.0001786312,0.89334226
20153,0.0015574958,0.01988155,0.0020318679,0.97651404,7.043564e-06,7.866346e-06
20154,0.014229182,0.00014905486,0.0035954302,0.09480334,0.8869867,0.00023631036
20157,0.06825527,0.13430068,0.14395986,0.103349335,0.4819315,0.06820325
20158,0.00852486,0.0036363995,0.002719997,4.8421254e-05,6.6616285e-06,0.9850637
20159,3.356515e-11,1.0,1.2101854e-10,4.215915e-13,9.8394125e-15,3.1327456e-09
20160,0.24013732,0.004218127,0.072095826,0.03436873,0.6257555,0.02342451
20161,0.016655656,0.021165498,7.200166e-07,7.763305e-09,0.000112413174,0.96206576
20162,0.762256,0.007414804,0.0071325027,0.018628873,0.069061264,0.13550656
20163,0.67232037,0.014136044,0.014388297,0.13364217,0.11381163,0.05170142
20164,0.00373131,0.0014431018,0.042064562,0.91221464,0.040539563,6.733985e-06
20165,0.03485693,0.0048418334,0.00021130065,0.00023091066,0.9572237,0.0026353768
20166,0.0021228876,0.79709065,0.0005263224,0.00022349948,0.00035000415,0.19968677
20167,0.0007499121,1.2116524e-08,6.240358e-06,0.00039580313,0.99884784,1.2112625e-07
20168,0.049848758,0.0033694133,0.7853949,0.054244414,0.047304813,0.059837695
20170,0.004873695,8.270123e-05,0.008615781,0.057073135,0.92920744,0.00014718363
20171,0.050503157,0.0309449,0.0878622,0.13869686,0.6773413,0.014651634
20172,0.017508447,0.013734941,0.08362181,0.22461998,0.6539703,0.0065445225
